nomeEmpresa;nomePregao;titulo;texto;polaridade
LOJAS HERING S.A.;LOJAS HERING;hering lucra r ; milhoes trimestre queda varejista hering lucrou r milhoes segundo trimestre queda comparacao lucro r milhoes ano antes semestre ganho liquido r milhoes recuo receita liquida empresa atingiu r milhoes meses abril maio junho menor registrado ano antes seis meses receita soma r milhoes queda lucro antes juros impostos depreciacao amortizacao ebitda sigla ingles ficou r milhoes trimestre queda somou r milhoes semestre recuo ;-
CIA TELECOMUNICACOES DO BRASIL CENTRAL;CTBC TELECOM;suposta saida telefonica telecom italia pode ser avaliada junto operacao gvtcad;brasilia set reuters presidente conselho administrativo defesa economica cade vinicius carvalho disse nesta quartafeira orgao antitruste podera analisar conjuntamente eventual venda gvt telefonica possivel saida empresa espanhola capital telecom italia dependendo operacao apresentada cade vao notificar operacao telefonicagvt vamos analisar meio dessa operacao questao envolvendo troca acoes telefonica telecom italia vivendi controladora gvt vai ser analisado tambem bojo operacao disse proposta telefonica gvt inclui possibilidade parte pagamento feito acoes telecom italia detidas telefonica vivendi assim desejar segundafeira presidente conselho telefonica cesar alierta disse empresa espanhola pretende sair capital telecom italia apos finalizar compra gvt eventual saida telefonica brasil controla vivo capital telecom italia controla tim participacoes atenderia exigencia feita cade fim ano passado segundo carvalho alem desses aspectos cade tambem podera ter analisar dependendo fechar operacao telefonicagvt vivendi podera ser socia minoritaria tim vivo brasil ja desenho possivel pode ter tambem parte capital empresa brasileira combinada apos venda gvt;+
CIA BEBIDAS DAS AMERICAS - AMBEV;AMBEV;ambev cocacola juntas banco diz fusao devia ser vista urgenc;sao paulo avaliando gigantes setor bebidas anheuserbusch inbev detem ambev abev coca cola sabmiller precisam solucoes passam fusoes aquisicoes passem crescer brasil plural fez algumas consideracoes sobre podem fazero banco alias deu sinalizacao ja aventada mercado abril deste ano fusao cocacola ab inbev segunda companhia sinal trio ferro brasileiro g formado jorge paulo lemann marcell telles carlos alberto sicupira parceria bilionario investidor warren buffett possui participacao cocacola alias junho proprio oraculo omaha sepultou ideia g poderiam fazer oferta coca apos possivel especulacao gestor americano entrevista fox business relatorio assinado carlos laboy catherine foster ab inbev precisa mitigar efeitos maturacao mercados consertar elementos negocios acreditamos abi precisa novos acordos volte crescer avaliam analistas ressaltando desaceleracao crescimento marcas eua desvantagem segmentos distribuica;+
CIA BEBIDAS DAS AMERICAS - AMBEV;AMBEV;ambev estuda incorporacao londrina beb; ambev convocou assembleia geral extraordinaria outubro decidir sobre incorporacao londrina bebidas subsidiaria integral companhia localizada pirai rj edital convocacao divulgado nesta tercafeira ideia simplificar estrutura societaria reduzir custos operacionais administrativos grupo adquirida junto schincariol londrina bebidas responsavel fabricacao cerveja cintra conselho fiscal empresa ja manifestou favoravelmente incirporacao londrina bebidas possui patrimonio liquido contabil avaliado r milhoes incorporacao nao resultara aumento reducao patrimonio liquido capital social companhia medida patrimonio liquido londrina bebidas subsidiaria integral ja integralmente refletido patrimonio liquido companhia decorrencia aplicacao metodo equivalencia patrimonial informou ambev informacoes reuters;+
CENTRAIS ELET BRAS S.A. - ELETROBRAS;ELETROBRAS;lucia vania comemora compra celg eletrobr; pronunciamento tribuna plenario nesta tercafeira lucia vania psdbgo comemorou recente acordo companhia distribuicao companhia energetica goias celg distribuicao eletrobras senadora acordo sera benefico estado permitira retomada investimentos setor eletrico ultimo dia eletrobras efetuou compra acoes celg distribuicao finalizando processo negociacoes ja durava tres anos empresa goiana ameacada caducidade retomada concessao poder concedente conta dividas acordo eletrobras assume controle acionario salda dividas permite celg mantenha anos concessao distribuicao energia eletrica estado goias celg trocou incertezas dividas impagaveis futuro investimento valorizacao processo criou condicoes celg forte digna povo goiano avaliou senadora lucia vania retomada concessao celg grande impacto negativo devido situacao preocupante distribuicao energia estado incapacidade realizar investimentos dividas crescentes recorrente queda qualidade servicos prestados prendiam companhia circulo vicioso desempenho economia goiana ameacado bases analisou senadora ainda ressaltou processo dar empresas publicas nao privatizacao eletrobras dinheiro publico acoes sao interesse publico tanto celg quanto eletrobras administram dinheiro vem impostos nao trata privatizacao esclareceu lucia vania ainda apresentou valores mostram segundo parceria recemfirmada ja surtindo efeito acordo senadora eletrobras ja colocou r bilhoes empresa investira r milhoes ano caixa economica federal tambem concedera emprestimo r bilha;+
CENTRAIS ELET BRAS S.A. - ELETROBRAS;ELETROBRAS;eletrobras aprova financiamento pagar parte divida petrobr; conselho administracao eletrobras aprovou segundafeira contratos financiamento eletrobras distribuidoras grupo amazonas energia eletroacre total r milhoes visando repasse recursos quitar parcela divida petrobras eletrobras informou negociando petrobras distribuidora valor r bilhoes divida relacionada compra combustivel termicas sendo r milhoes serao pagos vista restante sera parcelado montante total divida distribuidoras eletrobras petrobras avaliacao estatal eletrica cerca r bilho;-
BNDES PARTICIPACOES S.A. - BNDESPAR;BNDESPAR;governo autoriza r bi bndes metro fortal; ministerio fazenda autorizou firmado contrato financiamento r bilhao estado ceara implantacao linha leste metro fortaleza financiamento sera concedido banco nacional desenvolvimento economico social bndes autorizacao publicado diario oficial uniao desta segundafeira bndes havia noticiado financiamento projeto comeco julho implantacao linha leste metro fortaleza extensao total quilometros estacoes faz parte plano aceleracao crescimento pac linha leste metro ira integrar centro capital regiao avenida santos dumont onde encontram principais polos comerciais universitarios financeiros cidade alem regiao avenida washington soares apresenta maior indice crescimento regiao financiamento bndes vai apoiar investimentos necessarios implantacao obras civis metro corresponde quilometros sistema metroviario sendo quilometros trecho subterraneo metros trecho transicao metros trecho superficie alem treze estacoes doze subterraneas superficie dez pocos ventilacao sete saidas emergencia texto publicado hoje diario oficial cita contrato garantia ser firmado uniao estado ceara interveniencia banco nacional desenvolvimento economico social bndes contrato vinculacao receitas cessao transferencia credito contragarantia ser celebrado uniao estado ceara interveniencia caixa economica federal sa banco brasil sa banco nordeste brasil sa ambos relativos contrato financiamento ser firmado estado ceara bndes valor r bilhao cujos recursos serao destinados financiamento implantacao linha leste metro fortal;+
TIM PARTICIPACOES S.A.;TIM PART S/A; vivo claro pedem impugnacao edital leilao g;tim quer mudancas brasilia tres quatro principais operadoras telecomunicacoes pais pediram nesta tercafeira impugnacao mudancas edital leilao faixa mhz internet movel quarta geracao g nao claro ate momento implicara atraso licitacao marcada setembro governo federal conta dinheiro venda licencas compor superavit primario economia feita pagamento juros divida publica telefonica brasil vivt opera sob marca vivo claro querem impugnacao certame enquanto tim participacoes timp pede alteracoes edital preco minimo total seis licencas leilao bilhoes reais edital preve ainda desembolso adicional outorgas ate cerca milhoes reais vencedoras empresas ja licenca frequencia ghz servico g atualmente prestado brasil vencedoras tambem arcarao estimados bilhoes reais custos limpeza faixa mhz atualmente ocupada radiodifusao analogica presidente telefonica brasil antonio carlos valente disse nesta tercafeira principal questionamento empresa leilao g referese fato documento nao estipular valores maximos serem gastos vencedores limpeza frequencia nao ha limite superior valor necessario disse valente jornalistas apos participar evento brasilia tambem nesta terca presidente tim rodrigo abreu disse operadora pediu governo mudancas edital segundo abreu principal alteracao defendida tim reducao prazo hoje fixado meses desligamento sinal tv analogica faixa mhz inicio comercializacao servicos g claro meio assessoria imprensa informou fez pedido impugnacao edital aguarda resposta agencia nacional telecomunicacoes anatel procurada oi disse nao pronunciaria sobre assunto faixa mhz objeto leilao sera complementar ghz leiloada meados tambem tecnologia g procurada anatel disse ate publicacao desta reportagem telefonica brasil associacao operadores mmds brasil neotec nortv telecomunicacoes ltda pediram impugnacao leilao g; -
TOTVS S.A.;TOTVS; faz totvs empresa bovespa querida times futebol;empresa atuado maneira positiva organizacao negocios gestao recursos clubes brasileiros rodrigo tolotti umpieres h sao paulo ultimas semanas debatido sobre lei responsabilidade fiscal esporte tenta impor controle gastos clubes futebol brasileiros enquanto muitos times enfrentam problemas dividas altissimas ma gestao recursos estar envolvida neste assunto totvs tots ja ajudado clubes futebol organizarem gestoes ja sao times atendidos empresa cruzeiro mg sport pe botafogo rj recentemente associacao atletica ponte preta sp caso clube campinas antes adotar ferramenta totvs poucas areas informatizadas enfrentavamos inumeras dificuldades pois so existiam dois sistemas contabilidade folha pagamento havia pouca integracao dados diz antonio luiz souza semedo gerente administrativo clube responsavel projeto novos sistemas ponte preta fazia controle administracao meio planilhas excel pouco tempo implementacao mudancas ja visiveis integracao areas rh contabilidade financeiro controle estoque trouxe agilidade processos melhorias tomada decisao acreditamos tempo ganhos ainda maiores conclui souza acordo luis roberto mulla diretor atendimento relacionamento totvs interior paulista franquia responsavel projeto atendimento clube companhia procura constantemente especializar cada segmentos atua objetivo ser ainda essencial clientes resultado desse perfil totvs ter clientes ponte preta clube centenario processos estruturados profissionais conscientes beneficios tecnologia gestao empresa obtendo qualidade consistencia resultados afirm; +
TPI - TRIUNFO PARTICIP. E INVEST. S.A.;TRIUNFO PART;euforia bolsa acoes ibovespa sobem ;so cairam sao paulo apos manha negativa ibovespa ganhou forcas tarde tercafeira rumores marina silva psb ultrapassara dilma rousseff ja turno pesquisa ibope sera divulgada amanha fechou alta flertando regiao mil pontos expectativa nova pesquisa guiou forte alta acoes estatais petrobras banco brasil chegaram subir intraday contagiando outras acoes mercado acoes fazem parte ibovespa subiram alguns papeis indice tambem mostraram alta impressionante triunfo tpis r smiles smle r siderurgicas empresas autopecas tambem subiram forte nesta sessao apos dados producao industrial nacional mostrarem crescimento julho gerdau usiminas csn subiram enquanto marcopolo iochpe maxion randon estenderam ganhos ultimas semanas quase sobre marcopolo vale lembrar acao incluida carteira ibovespa ultima segundafeira ponta negativa apenas acoes indice cairam principal destaque ficou qualicorp afundou apos anuncio aquisicao capital social alianca administradora beneficios saude ga consultoria empresas educacao estacio kroton bem estatal eletrobras fecharam lista maiores quedas ibovespa recuando ; +
TRACTEBEL ENERGIA S.A.;TRACTEBEL;corretora indica acoes comprar agor;confira sao paulo lerosa investimentos recomendou oito acoes semana quarta participacao infomoney corretora decidiu retirar papeis ambev abev colocar lugar ativos embraer embr permaneceram carteira corretora acoes cetip ctip tractebel tble klabin klbn petrobras petr pao acucar pcar brf brfs vale vale lerosa afirmou decidiu tambem aumentar posicao petrobras visto possibilidade modificacao presidencial aumenta menor interferencia governamental empresa ja publicada programa governo alem incentivo setor sucroalcooleiro tornandoo competitivo consequencia menor utilizacao gasolina portanto menor dependencia importacao derivado implicando menor prejuizo area abastecimento vem impactando negativamente resultados companhia promovemos entrada embraer empresa exportadora pode beneficiar cenario desvalorizacao cambial alem divulgacoes pedidos firmes opcoes compras diferentes companhias aereas backlog fechou primeiro semestre us bilhoes alem disso empresa recebeu certificacao anac agencia nacional aviacao civil jato executivo legacy espera receber certificacao faa easa autoridades estados unidos europa respectivamente proximas semanas cont; +
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S.A.;TAESA;imobiliarias comemoram medidas manteg;petrobras sobe pregoes taesa alupar acoes duas empresas setor transmissao energia taesa taee r alupar alup r fecharam sinais opostos apos ambas abrirem forte queda nesta sessao credit suisse rebaixou recomendacao duas acoes taesa corte neutra underperform similar venda alupar rebaixamento outperform similar compra neutr;-
TREVISA INVESTIMENTOS S.A.;TREVISA; dolar sobe aproxima r ;sao paulo dolar fechou alta nesta quartafeira aproximandose teto informal reais apos crescimento economia estados unidos surpreender positivamente alimentar expectativas federal reserve margem aumentar juros cedo esperado moeda norteamericana subiu cento reais venda apos bater reais maxima sessao alta cento segundo dados bmf giro financeiro ficou torno bilhoes dolares ultima vez divisa eua fechou acima reais julho queda aviao malaio leste ucrania provocou aversao risco generalizada voltou patamares baixos ja dia seguinte pib eua ajudou levar dolar reais nao acontecia ha algum tempo sempre pessoal aproveita realiza chega patamares afirmou superintendente cambio corretora intercam jaime ferreira moeda eua deve voltar casa reais proximos dias divisa norteamericana operado reais desde inicio abril apenas breves excecoes ultimos dois meses diante fortes atuacoes banco central brasileiro mercado local boa parte especialistas avalia cotacoes nesse intervalo agradariam autoridade monetaria pois nao impactam inflacao exportacoes nesta sessao bc vendeu oferta diaria total ate mil swaps cambiais equivalente venda dolares mercado futuro todos vencimento fevereiro volume equivalente milhoes dolares tambem ofertados contratos junho nenhum vendido bc tambem vendeu oferta total ate mil swaps rolagem contratos vencem inicio agosto todo bc ja rolou cerca cento lote total corresponde bilhoes dolares economia forte produto interno bruto pib eua cresceu cento termos anualizados segundo trimestre ante estimativas cento cifra indica forte retomada crescimento apos contracao primeiro trimestre ampara expectativas bom desempenho ultimos seis meses deste ano recuperacao economia eua tomando corpo mercado comeca preparar mudanca politica monetaria afirmou manha gerente cambio corretora treviso reginaldo galhardo parece bom estados unidos ruim mercado acrescentou juros altos eua tenderiam atrair capitais atualmente aplicados outros paises dolar tambem subiu frente euro iene outros duas ultimas horas pregao dolar perdeu forca sobre real voltando ficar abaixo reais apos divulgacao decisao politica monetaria fed segundo analistas documento nao trouxe surpresas reforcou percepcao banco central eua confortavel manutencao taxas juros baixas fed anunciou novo corte bilhoes dolares compras mensais titulos bilhoes dolares melhorou avaliacao economia eua reiterou nao pressa aumentar juros maior parte mercado projeta alta juros norteamericanos so deve ocorrer meados pesou ainda nesta sessao disputa formacao ptax julho dia seguinte tende trazer volatilidade negociacoes mercado local bc brasileiro fara quintafeira leilao ate bilhoes dolares compromisso recompra inicio rolar linha vence agosto segundo dados bc exatamente valor ainda resta ser recomprado outros leiloes ja feitos ultimo leilao linha junho autoridade monetaria nao vendeu nenhum contrato oferta ate bilhoes dol; +
